,train_accuracy,test_accuracy,train_f1_macro,test_f1_macro,train_mcc,test_mcc,model,rebalance_type
4,1.0,0.6739130434782609,1.0,0.5324454175028889,1.0,0.3710098907801631,lgbm,none
0,0.7741935483870968,0.5957446808510638,0.5242339359986419,0.3969348659003831,0.5764090822159182,0.2291801776226218,mlp,none
1,0.7849462365591398,0.5957446808510638,0.5312106427986256,0.36063492063492064,0.5966936394274075,0.1911101342108351,mlp,none
2,0.7795698924731183,0.44680851063829785,0.5277128384960063,0.2949494949494949,0.5864675436753426,-0.030373157186286845,mlp,none
3,0.7807486631016043,0.5652173913043478,0.5270655270655271,0.36725146198830405,0.5915244272772259,0.15311936621063926,mlp,none
4,0.7754010695187166,0.6086956521739131,0.5236293979292451,0.37957124842370743,0.5813395025622639,0.20708899231547043,mlp,none
0,0.8279569892473119,0.6170212765957447,0.6969504783045294,0.3910813823857302,0.6821534059214029,0.22837423825282013,rf,none
1,0.8548387096774194,0.5957446808510638,0.7940213854021385,0.3434343434343434,0.738114193530448,0.17111077557559085,rf,none
2,0.9193548387096774,0.48936170212765956,0.9013763966908753,0.2743055555555555,0.8569149201215442,-0.06035383080289844,rf,none
3,0.7647058823529411,0.5434782608695652,0.620635699583068,0.4008838383838384,0.55971918038316,0.038127423160702834,rf,none
4,0.893048128342246,0.6304347826086957,0.8527528780344801,0.4280397964608491,0.811181291556072,0.24742214441073382,rf,none
